r_max,regret_type,task_optimized,deployed_from,z_optimal,z_deployed,u_optimal,u_deployed,regret
0.35,obs_if_analytics_optimized,observability,analytics_med,sem_coarse,sem_coarse,0.165,0.165,0.0
0.35,med_if_obs_optimized,analytics_med,observability,sem_coarse,sem_coarse,0.1283,0.1283,0.0
0.35,cohort_if_obs_optimized,analytics_cohort,observability,sem_coarse,sem_coarse,0.0,0.0,0.0
0.35,med_if_cohort_optimized,analytics_med,analytics_cohort,sem_coarse,sem_coarse,0.1283,0.1283,0.0
0.4,obs_if_analytics_optimized,observability,analytics_med,redact_bracket,redact_bracket,0.6732,0.6732,0.0
0.4,med_if_obs_optimized,analytics_med,observability,redact_bracket,redact_bracket,0.1973,0.1973,0.0
0.4,cohort_if_obs_optimized,analytics_cohort,observability,redact_bracket,redact_bracket,0.0,0.0,0.0
0.4,med_if_cohort_optimized,analytics_med,analytics_cohort,redact_bracket,redact_bracket,0.1973,0.1973,0.0
0.45,obs_if_analytics_optimized,observability,analytics_med,redact_bracket,redact_surrogate,0.6732,0.657,0.0162
0.45,med_if_obs_optimized,analytics_med,observability,redact_surrogate,redact_bracket,0.4454,0.1973,0.2481
0.45,cohort_if_obs_optimized,analytics_cohort,observability,redact_bracket,redact_bracket,0.0,0.0,0.0
0.45,med_if_cohort_optimized,analytics_med,analytics_cohort,redact_surrogate,redact_bracket,0.4454,0.1973,0.2481
0.5,obs_if_analytics_optimized,observability,analytics_med,sem_medium,sem_medium,1.0,1.0,0.0
0.5,med_if_obs_optimized,analytics_med,observability,sem_medium,sem_medium,1.0,1.0,0.0
0.5,cohort_if_obs_optimized,analytics_cohort,observability,raw,sem_medium,0.0,0.0,0.0
0.5,med_if_cohort_optimized,analytics_med,analytics_cohort,sem_medium,raw,1.0,0.5468,0.4532
0.55,obs_if_analytics_optimized,observability,analytics_med,sem_medium,sem_medium,1.0,1.0,0.0
0.55,med_if_obs_optimized,analytics_med,observability,sem_medium,sem_medium,1.0,1.0,0.0
0.55,cohort_if_obs_optimized,analytics_cohort,observability,raw,sem_medium,0.0,0.0,0.0
0.55,med_if_cohort_optimized,analytics_med,analytics_cohort,sem_medium,raw,1.0,0.5468,0.4532
0.6,obs_if_analytics_optimized,observability,analytics_med,sem_medium,sem_medium,1.0,1.0,0.0
0.6,med_if_obs_optimized,analytics_med,observability,sem_medium,sem_medium,1.0,1.0,0.0
0.6,cohort_if_obs_optimized,analytics_cohort,observability,raw,sem_medium,0.0,0.0,0.0
0.6,med_if_cohort_optimized,analytics_med,analytics_cohort,sem_medium,raw,1.0,0.5468,0.4532
